participation_ratio,variance_activation_derivatives,average_state_entropy,active_information_storage,transfer_entropy,mean_correlation,task,process_count,trial,spectral_radius,scale,base_nmse
1.0710880725265226,1.1384646891325683e-14,-7.07715827997648,0.015630898628352815,0.014030173573979626,0.8820436720396321,delay,1,0,0.2,0.001,1.000870774268206
1.0710880725265226,1.1384646891325683e-14,-7.07715827997648,0.015630898628352815,0.014030173573979626,0.8820436720396321,delay_polynomial,1,0,0.2,0.001,1.000870774268206
1.0710880725265226,1.1384646891325683e-14,-7.07715827997648,0.015630898628352815,0.014030173573979626,0.8820436720396321,polynomial,1,0,0.2,0.001,0.0031189587603783907
1.0710880725265226,1.1384646891325683e-14,-7.07715827997648,0.015630898628352815,0.014030173573979626,0.8820436720396321,narma,1,0,0.2,0.001,0.572209888111203
1.1846715592674766,1.314402010284754e-14,-7.0120211218424,0.023050400562731464,0.025787926993747677,0.7930715332873688,delay,1,0,0.3142857142857143,0.001,1.000853327895444
1.1846715592674766,1.314402010284754e-14,-7.0120211218424,0.023050400562731464,0.025787926993747677,0.7930715332873688,delay_polynomial,1,0,0.3142857142857143,0.001,1.000853327895444
1.1846715592674766,1.314402010284754e-14,-7.0120211218424,0.023050400562731464,0.025787926993747677,0.7930715332873688,polynomial,1,0,0.3142857142857143,0.001,0.0031213208019030664
1.1846715592674766,1.314402010284754e-14,-7.0120211218424,0.023050400562731464,0.025787926993747677,0.7930715332873688,narma,1,0,0.3142857142857143,0.001,0.5616770821370082
1.3714939977225642,1.629281746307654e-14,-6.9357193234125125,0.028234884420488448,0.03539563869206321,0.7095162317885227,delay,1,0,0.4285714285714286,0.001,1.0007328361937056
1.3714939977225642,1.629281746307654e-14,-6.9357193234125125,0.028234884420488448,0.03539563869206321,0.7095162317885227,delay_polynomial,1,0,0.4285714285714286,0.001,1.0007328361937056
1.3714939977225642,1.629281746307654e-14,-6.9357193234125125,0.028234884420488448,0.03539563869206321,0.7095162317885227,polynomial,1,0,0.4285714285714286,0.001,0.0031421895263176944
1.3714939977225642,1.629281746307654e-14,-6.9357193234125125,0.028234884420488448,0.03539563869206321,0.7095162317885227,narma,1,0,0.4285714285714286,0.001,0.559695606180027
