Task,R²,R²_std
Delay,0.24265155121522025,0.17948478486730365
Delay Polynomial,0.3149254217583615,0.1695264482459231
Polynomial,0.16255375085292462,0.17878743106344747
Narma,0.3188905011899609,0.06794549198734554
Parity,0.5350120828301668,0.04092233728611865
Counting Task,0.5510608926721652,0.009583356108398765
