Task,R²,R²_std
Counting Task,0.7735476805685817,0.01817782809649297
Delay,0.8320629962731927,0.006720371155905256
Delay Polynomial,0.8596880984435625,0.005204302319313364
Narma,0.761765808028198,0.011977345448400265
Parity,0.9249116178327028,0.006494586060085353
Polynomial,0.5498046979517837,0.016833274497448716
